● あいじょう[愛情] 	[명사]애정;사랑
● きんぞく[金属] 	[명사]금속;쇠붙이
● きんだい[近代] 	[명사]근대;현대에 가까운 시대
● きんちょう[緊張] 	[명사]긴장
● きんにく[筋肉] 	[명사]근육
● きんゆう[金融] 	[명사]금융
● きんよう[金曜] 	[명사]금요
● く[九] 	[명사]구;아홉
● く[句] 	[명사]구, 글의 구절, 俳句 등을 세는 말
● くう[食う] 	[동사]먹다, 생활하다;살아가다, 좀이 먹다...
● くう[空] 	[명사]하늘;허공, 빔;공허함, 공;인연이 ...
● ぐうすう[偶数] 	[명사]우수;짝수
● ぐうぜん[偶然] 	[부사]우연히, 우연
● くうそう[空想] 	[명사]공상;→むそう
● くうちゅう[空中] 	[명사]공중;천공
● くぎ[釘] 	[명사]못
● くぎる[区切る·句切る] 	[동사]단락을 짓다;구획 짓다
● くさり[鎖] 	[명사]사슬, 잇는 것;연계
● くし[櫛] 	[명사]빗
● くじょう[苦情] 	[명사]괴로운 사정;고충, 불평;불만
● くしん[苦心] 	[명사]고심
● くず[屑] 	[명사]쓰레기;지스러기;부스러기
● くずす[崩す] 	[동사]무너뜨리다, 무느다, 흩뜨리다
● くずれる[崩れる] 	[동사]무너지다, 허물어지다;붕괴하다, 흐트...
● くだ[管] 	[명사]관;속이 빈 둥근 막대, 대롱;가락,...
● ぐたい[具体] 	[명사]구체
● くだく[砕く] 	[동사]부수다, 깨뜨리다;바수다, →くだける
● くだける[砕ける] 	[동사]부서지다;깨지다, 꺾이다;좌절하다, ...
● くちびる[唇] 	[명사]입술
● くつう[苦痛] 	[명사]고통
● くっつく 	[동사]들러붙다;달라붙다, 남녀가 정식 아닌...
● くっつける 	[동사]붙이다;들러붙게 하다, 자기 편으로 ...
● くどい[諄い] 	[형용사]지루할 정도로 장황하다;끈덕지다, ...
● くふう[工夫·功夫] 	[명사]여러 가지로 궁리함;고안함, 주어진 ...
● くぶん[区分] 	[명사]구분
● くみ[組] 	[명사]조, 반;학급, 한 패의 사람들;패
● くみ[組(み)] 	[명사]세트;쌍, 조판, ‘くみいと’의 준말
● くみあい[組合] 	[명사]조합, 특히, 노동조합
● くみあい[組(み)合(い)] 	[명사]맞붙어 싸움
● くみあわせ[組み合(わ)せ] 	[명사]짜 맞춤;편성, 조합;→じゅんれつ
● くみたてる[組(み)立てる] 	[동사]조립하다, 구성하다;조직하다
● くむ[汲む] 	[동사]푸다;퍼 올리다, 이어받다
● くむ[酌む] 	[동사]따라서 마시다, 추측하다;참작하다
● くむ[組む] 	[동사]엇걸다, 끼다, 짜다
● くやむ[悔(や)む] 	[동사]후회하다;애석하게 여기다, 조상하다;...
● クラシック 	[명사]고전, 고대 그리스·라틴의 뛰어난 작...
● クリーム 	[명사]크림, 우유로 만든 식품, 크림빛;엷...
● クリスマス 	[명사]크리스마스
● くるう[狂う] 	[동사]미치다, 이상해지다;발광하다, 지나치...
● くるむ[包む] 	[동사]휩싸다;둘러싸다, →くるめる
● くれ[暮(れ)] 	[명사]저묾;저물 때, 저녁때;해질 녘, 계...
● くろ[黒] 	[명사]검은 빛깔;검정, 검은 색과 관계 있...
● くろじ[黒字] 	[명사]흑자;이익
● くわえる[銜える·啣える] 	[동사]물다, 데리고 있다;동반하다
● くん[訓] 	[명사]훈;자훈, 가르침;훈계
● ぐん[軍] 	[명사]군, 병의 집단;군대, 팀
● ぐんたい[軍隊] 	[명사]군대
● くんれん[訓練] 	[명사]훈련
● げ[下] 	[명사]하, 아래, 열등함;열등한 것
● けい[計] 	[명사]계, 계획, 합계
● けいい[敬意] 	[명사]경의
● けいき[契機] 	[명사]계기
● けいき[景気] 	[명사]경기, 호경기, 활동 상태나 위세;기...
● けいこ[稽古] 	[명사]배움
● けいご[敬語] 	[명사]경어;높임말
● けいこう[傾向] 	[명사]경향
● けいこく[警告] 	[명사]경고
● けいじ[刑事] 	[명사]형사, 형법의 적용을 받아 그에 따라...
● けいじ[掲示] 	[명사]게시
● けいしき[形式] 	[명사]형식
● けいぞく[継続] 	[명사]계속
● けいど[経度] 	[명사]경도
● げいのう[芸能] 	[명사]예능, 연예, →げいごと
● けいば[競馬] 	[명사]경마
● けいび[警備] 	[명사]경비
● けいゆ[経由] 	[명사]경유
● げか[外科] 	[명사]외과
● けがわ[毛皮] 	[명사]모피;털가죽
● げき[劇] 	[명사]극;연극
● げきじょう[劇場] 	[명사]극장
● げきぞう[激増] 	[명사]격증
● げしゃ[下車] 	[명사]하차
● けずる[削る] 	[동사]깎다, 깎아내다, 줄이다;삭감하다
● けた[桁] 	[명사]도리;또, 다리의 횡목, 자릿수, 규...
● げた[下駄] 	[명사]나막신, 복자, 수상 비행기의 플로트
● けつあつ[血圧] 	[명사]혈압
● けっかん[欠陥] 	[명사]결함
● げっきゅう[月給] 	[명사]월급
● けっさく[傑作] 	[형용동사]걸작;뛰어난 작품, 별나고 야릇한...
● げつまつ[月末] 	[명사]월말
● げつよう[月曜] 	[명사]월요
● けはい[気配] 	[명사]기미;기색, 경기;시세
● けむい[煙い] 	[형용사]→けむたい1
● けん[券] 	[명사]‘引換券’ ‘入場券’ ‘乗車券’ 따위...
● けん[県] 	[명사]현;일본의 행정 구분으로, 都·道·府...
● けん[権] 	[명사]권;권도, …권, 권력;권세
● けんかい[見解] 	[명사]견해;의견
● けんがく[見学] 	[명사]견학
● けんきょ[謙虚] 	[명사]겸허
● げんこう[原稿] 	[명사]원고
● げんさん[原産] 	[명사]원산
● げんし[原始] 	[명사]원시
● けんしゅう[研修] 	[명사]연수
● げんじゅう[厳重] 	[형용동사]엄중
● げんしょう[現象] 	[명사]현상
● げんじょう[現状] 	[명사]현상
● けんそん[謙遜] 	[형용동사]겸손;겸허;겸양
● けんちく[建築] 	[명사]건축
● けんちょう[県庁] 	[명사]현청
● けんとう[検討] 	[명사]검토
● けんとう[見当] 	[명사]목표, 방향;부근, 어림;예상
● げんに[現に] 	[부사]목전에;실제로;지금
● げんば[現場] 	[명사]현장
● けんびきょう[顕微鏡] 	[명사]현미경
● けんぽう[憲法] 	[명사]헌법
● けんめい[懸命] 	[형용동사]힘껏 함;결사적으로 함
● けんめい[賢明] 	[명사]현명
● げんゆ[原油] 	[명사]원유
● けんり[権利] 	[명사]권리
● げんり[原理] 	[명사]원리
● げんりょう[原料] 	[명사]원료
● ご[後] 	[명사]후, 뒤, …후
● ご[碁] 	[명사]바둑
● こいしい[恋しい] 	[형용사]그립다
● こう[校] 	[명사]학교, 교정, 교정의 횟수를 가리키는...
● ごう[号] 	[명사]호, 명칭, 탈것이나 동물 따위에 붙...
● こういん[工員] 	[명사]공원
● ごういん[強引] 	[형용동사]반대나 장애를 물리치고 억지로 하...
● こうえん[講演] 	[명사]강연
● こうか[高価] 	[형용동사]고가;값이 비쌈
● こうか[硬貨] 	[명사]경화;금속 화폐
● ごうか[豪華] 	[명사]호화
● こうがい[公害] 	[명사]공해
● こうかん[交換] 	[명사]교환, 어느 한 쪽이 옆으로 비켜서 ...
● こうきょう[公共] 	[명사]공공
● こうくう[航空] 	[명사]항공
● こうけい[光景] 	[명사]광경
● こうげい[工芸] 	[명사]공예
● ごうけい[合計] 	[명사]합계;총액
● こうげき[攻撃] 	[명사]공격
● こうけん[貢献] 	[명사]공헌;이바지
● こうさ[交差] 	[명사]교차
● こうさく[耕作] 	[명사]경작
● こうし[講師] 	[명사]강사;→こうじ
● こうしき[公式] 	[명사]공식, 공적으로 정해진 방식, 일반적...
● こうじつ[口実] 	[명사]구실;핑계, 음식;전하여, 생활의 근...
● こうしゃ[後者] 	[명사]후자, 둘 중의 뒤의 것, 뒤를 잇는...
● こうしゃ[校舎] 	[명사]교사
● こうしゅう[公衆] 	[명사]공중
● こうじょう[向上] 	[명사]향상
● こうすい[香水] 	[명사]향수
● こうせい[公正] 	[명사]공정
● こうせい[構成] 	[명사]구성
● こうせき[功績] 	[명사]공적;공로
● こうせん[光線] 	[명사]광선
● こうそう[高層] 	[명사]고층
● こうぞう[構造] 	[명사]구조
● こうそく[高速] 	[명사]고속, ‘高速道路’의 준말
● こうたい[交替·交代] 	[명사]교체;교대
● こうち[耕地] 	[명사]경지;경작지
● こうてい[肯定] 	[명사]긍정
● こうど[高度] 	[명사]높이;높은 정도, 해수면에서의 높이,...
● こうとう[高等] 	[형용동사]고등
● ごうとう[強盗] 	[명사]강도
● こうひょう[公表] 	[명사]공표;세상에 널리 알림
● こうぶつ[鉱物] 	[명사]광물
● こうへい[公平] 	[명사]공평
● こうほ[候補] 	[명사]후보
● こうむ[公務] 	[명사]공무
● こうもく[項目] 	[명사]항목;조목
● ごうり[合理] 	[명사]합리
● こうりゅう[交流] 	[명사]교류
● こうりょ[考慮] 	[명사]고려
● こえる[越える] 	[동사]넘다, 건너다
● こえる[超える] 	[동사]지나가다, 기준을 넘다, 보다 낫다
● コース 	[명사]코스
● コーチ 	[명사]코치, 지도자;감독, 코치함;운동 경...
● コード 	[명사]코드, 부호;암호, 윤리 규정
● コーラス 	[명사]코러스;합창대;합창곡
● こおる[凍る] 	[동사]얼다;차게 되다
● ゴール 	[명사]골, 경주의 결승점;목표, 축구·하키...
● こがす[焦がす] 	[동사]눌리다;태우다, 향을 태우다
● こきゅう[呼吸] 	[명사]호흡, 일의 요령;미립
● ごく[語句] 	[명사]어구;어귀;말
● ごく[極] 	[부사]극히;대단히
● こくおう[国王] 	[명사]국왕
● こくせき[国籍] 	[명사]국적
● こくふく[克服] 	[명사]극복;곤란을 이겨냄
● こくもつ[穀物] 	[명사]곡물;곡식;곡류
● こげる[焦げる] 	[동사]눋다;타다
● こごえる[凍える] 	[동사]얼다;추위로 곱아지다
● こころあたり[心当(た)り] 	[명사]짐작;짐작 가는 곳;짚이는 데
● こころえる[心得る] 	[동사]알다, 납득하다;소양이 있다, 떠맡다
● こしかけ[腰掛(け)] 	[명사]걸상, 임시로 몸담고 있음;또, 그 ...
● こしかける[腰掛ける] 	[동사]걸터앉다
● ごじゅうおん[五十音] 	[명사]かな의 50개 음
● こしょう[胡椒] 	[명사]후추나무, 후추;후춧가루
● こしらえる[拵える] 	[동사]만들다, 제조하다, 마련·장만하다
● こす[超す] 	[동사]넘다;초과하다
● こす[越す] 	[동사]넘다;넘어가다, 건너다, 이사하다
● こする[擦る] 	[동사]문지르다;비비다
● こたい[個体] 	[명사]개체
● こっか[国家] 	[명사]국가
● こづかい[小づかい·小遣(い)] 	[명사]용돈
● こっきょう[国境] 	[명사]국경
● コック 	[명사]콕;고동;마개
● こっせつ[骨折] 	[명사]골절
● こてん[古典] 	[명사]고전
● こと[琴] 	[명사]거문고
● ことづける[言付ける] 	[동사]전갈하다;전언을 부탁하다
● ことなる[異なる] 	[동사]다르다;같지 않다
● ことわざ[諺] 	[명사]속담;이언
● こな[粉] 	[명사]가루;분말;특히, 밀가루
● こないだ[此間] 	[명사]→このあいだ
● ごぶさた[御無沙汰] 	[명사]오랫동안 격조함;무소식
● ゴム 	[명사]고무, 천연 고무, 합성 고무
● こむぎ[こむぎ·小麦] 	[명사]소맥;밀
● こめる[込める] 	[동사]속에 넣다, 재다, 온통 자욱이 끼다
● ごめん[御免] 	[명사]면허·공인·특허의 높임말, 면직의 높...
● こや[小屋] 	[명사]소옥, 오두막집;작고 초라한 집, 임...
● こらえる[堪える·怺える] 	[동사]참다;견디다, 용서하다
● ごらく[娯楽] 	[명사]오락
● ごらん[御覧] 	[명사]보심, ‘…て御覧なさい’의 막된 말씨
● コレクション 	[명사]컬렉션, 수집, 계절마다의 새로운 작...
● これら[此等·是等] 	[대명사]이들;이것들
● ころ[頃·比] 	[명사]때, 경;시절, 시기;계제
● こん[紺] 	[명사]감색
● コンクール 	[명사]콩쿠르;경기회;경연 대회
● コンクリート 	[명사]콘크리트, 구체적
● こんごう[混合] 	[명사]혼합;서로 섞임, →こんこう2
● コンセント 	[명사]콘센트
● こんだて[献立] 	[명사]식단;메뉴, 준비
● こんなん[困難] 	[형용동사]곤란
● こんにち[今日] 	[명사]금일;오늘, 오늘날;요즘
● こんやく[婚約] 	[명사]혼약;약혼
● さ[差] 	[명사]차, 차이;차등, 뺄셈의 답
● サークル 	[명사]서클, 동호회;동인회, 주위;범위
● さい[際] 	[명사]때;기회, 경계;끝
● さい[最] 	[형용동사]가장 정도가 높은 모양
● ざいがく[在学] 	[명사]재학
● さいさん[再三] 	[부사]재삼;두 번 세 번;여러 번
● ざいさん[財産] 	[명사]재산
● さいしゅう[最終] 	[명사]최종;맨 나중, ‘最終列車’ ‘最終電...
● さいそく[催促] 	[명사]재촉;독촉
● さいちゅう[さいちゅう·最中] 	[명사]한창;한중간
● さいなん[災難] 	[명사]재난
● さいばん[裁判] 	[명사]재판
● さいほう[裁縫] 	[명사]재봉;바느질
● ざいもく[材木] 	[명사]재목;목재
● サイレン 	[명사]사이렌, 호적, ‘モーターサイレン’의...
● さいわい[幸い] 	[명사]다행;행복, 다행히, 좋은 결과가 되...
● さかい[境] 	[명사]경계, 갈림길;기로, 땅;장소
● さかさ[逆さ] 	[명사]‘さかさま’의 준말
● さかさま[逆様] 	[명사]거꾸로 됨;반대로 됨;역
● さかのぼる[遡る·溯る] 	[동사]거슬러 올라가다, 흐름과 반대로 올라...
● さかば[酒場] 	[명사]술집;바
● さからう[逆らう] 	[동사]거스르다, 거슬러 나아가다, 거역하다...
● さかり[盛り] 	[명사]한창, 발정;암내
● さきほど[先程] 	[명사]아까;조금 전
● さく[昨] 	[명사]어제;지난날, 작…;지난
● さくいん[索引] 	[명사]색인;인덱스
● さくじょ[削除] 	[명사]삭제
● さくせい[作成] 	[명사]작성
● さくせい[作製] 	[명사]제작;만듦
● さくもつ[作物] 	[명사]작물;농작물
● さぐる[探る] 	[동사]뒤지다;더듬어 찾다, 탐지하다;살피다
● さけ[酒] 	[명사]술
● ささえる[支える] 	[동사]버티다, 떠받치다, 유지하다;지탱하다
● ささやく[囁く] 	[동사]속삭이다;소곤거리다, 바람·물·강 따...
● ささる[刺さる] 	[동사]박히다;꽂히다;찔리다
● さじ[匙] 	[명사]숟가락, 약을 조제함
● ざしき[座敷] 	[명사]다다미방;특히, 객실, 잔치 좌석, ...
● さしつかえ[差(し)支え] 	[명사]지장;지장되는 일
● さしみ[刺(し)身] 	[명사]생선회
● さす[刺す] 	[동사]찌르다, 쏘다;물다, 누비다
● さす[指す] 	[동사]가리키다;지적하다, 향하다;목표로 하...
● さす[挿す] 	[동사]꽂다;끼우다, 꺾꽂이하다, 꽃꽂이하다
● さす[射す] 	[동사]비치다
● さす[注す] 	[동사]붓다;따르다, 도장을 찍다;칠하다
● さすが[遉·流石] 	[부사]그렇다고는 하나;뭐라고 해도, 과연,...
● さつ[札] 	[명사]지폐
● さつえい[撮影] 	[명사]촬영
● ざつおん[雑音] 	[명사]잡음, 소음, 잡소리
● さっそく[早速] 	[부사]즉시
● ざつだん[雑談] 	[명사]잡담
● さて[扠·扨·偖·却説] 	[부사]막상;정작 …때가 되면, 그런데, 자
● さばく[砂漠] 	[명사]사막
● さび[錆·銹] 	[명사]녹, 나쁜 결과
● さびる[錆びる] 	[동사]녹나다;녹슬다, 차분하게 가라앉은 목...
● ざぶとん[座布団] 	[명사]방석
● さべつ[差別] 	[명사]차별
● さほう[作法] 	[명사]예의범절, 작법;만드는 법, 법식;관...
● さまざま[様様] 	[명사]여러 가지;가지각색
● さまたげる[妨げる] 	[동사]방해하다;지장을 주다, 허락의 뜻을 ...
● さゆう[左右] 	[명사]좌우, 곁;측근, 좌우함;좌지우지함
● さらに[更に] 	[부사]그 위에;더욱더, 다시;거듭, 조금도...
● さわがしい[騒がしい] 	[형용사]시끄럽다;소란하다, 뒤숭숭하다;불온...
● さわやか[爽やか] 	[형용동사]시원한 모양;상쾌한 모양;산뜻한 ...
● さんこう[参考] 	[명사]참고
● さんせい[酸性] 	[명사]산성
● さんそ[酸素] 	[명사]산소
● さんち[産地] 	[명사]산지
● サンプル 	[명사]샘플, 견본;표본, 기본이 되는 집단...
● さんりん[山林] 	[명사]산림;산과 숲;산속의 숲
● し[史] 	[명사]사;역사
● し[氏] 	[대명사]씨, …씨, 성에 붙이는 존칭
● しあさって[明明後日] 	[명사]글피
● シーズン 	[명사]시즌;시기;계절
● シーツ 	[명사]시트
● ジーンズ 	[명사]진, 고운 능직 무명, →ジーパン
● じえい[自衛] 	[명사]자위
● しかく[四角] 	[형용동사]사각, 네모진 모양;사각형, 정연...
● じかに[直に] 	[부사]직접
● しかも[然も·而も] 	[기타]그 위에;게다가, 그럼에도 불구하고;...
● しき 	[조사]기껏해야 …정도;겨우 …만큼
● じき[直] 	[명사]직접, 직…, 곧;바로
● じき[時期] 	[명사]시기, 때;계절, 기간
● しきち[敷地] 	[명사]부지;대지
● しきゅう[支給] 	[명사]지급
● しきゅう[至急] 	[명사]지급
● しきりに[頻りに·切りに] 	[부사]자꾸만;자주, 계속적으로;끊임없이, ...
● しく[敷く] 	[동사]깔다, 널리 깔리다, 퍼지다
● しげき[刺激] 	[명사]자극
● しげる[茂る] 	[동사]초목이 무성하다;빽빽히 들어차다
● しげん[資源] 	[명사]자원
● しこう[思考] 	[명사]사고, 생각;생각함, 주위 사태에 대...
● じさつ[自殺] 	[명사]자살
● じさん[持参] 	[명사]지참
● じじつ[事実] 	[명사]사실, 실제로 일어난, 또는 있는 일...
● じしゃく[磁石] 	[명사]자석, 자철광, ‘磁石盤’의 준말
● ししゃごにゅう[四捨五入] 	[명사]사사오입;반올림;→にしゃさんにゅう
● しじゅう[始終] 	[명사]시종, 자초지종;처음부터 끝까지, 처...
● ししゅつ[支出] 	[명사]지출
● じしん[自身] 	[명사]자신, 자기;스스로, 그 자체;그것
● しずまる[静まる] 	[동사]가라앉다;안정되다, 잠들다
● しせい[姿勢] 	[명사]자세;태도
● しそう[思想] 	[명사]사상
● しそん[子孫] 	[명사]자손
● したい[死体] 	[명사]사체;시체
● しだい[次第] 	[명사]순서, 차차로;점점, 되어 가는 대로...
● したがって[従って] 	[기타]따라서;그러므로;그 결과
● じたく[自宅] 	[명사]자택
● したまち[下町] 	[명사]도시의 평지에 있는 상업 지역;번화가
● じち[自治] 	[명사]자치, 스스로 처리함, 자연히 다스려...
● しつ[室] 	[명사]실, 방, 귀인의 처
● しつ[質] 	[명사]질
● じっかん[実感] 	[명사]실감
● しっき[湿気] 	[명사]습기
● じっけん[実験] 	[명사]실험
● じっさい[実際] 	[명사]실제, 참으로;정말로
● じっし[実施] 	[명사]실시
● じっしゅう[実習] 	[명사]실습
● じっせき[実績] 	[명사]실적;실제의 공적·성적·성과
● じつに[実に] 	[부사]실로;참으로;정말
● しっぴつ[執筆] 	[명사]집필
● じつぶつ[実物] 	[명사]실물
● しっぽ[尻尾] 	[명사]꼬리;긴 것의 끝 부분
● しつぼう[失望] 	[명사]실망
● じつよう[実用] 	[명사]실용
● じつれい[実例] 	[명사]실례
● じどう[児童] 	[명사]아동;어린이, 특히, 소학교 학생
● しはい[支配] 	[명사]지배
● しばい[芝居] 	[명사]연극, 연기, 전하여, 계획적으로 남...
● しばしば[数·屢·屢屢] 	[부사]자주;여러 번;누차
● しばふ[芝生] 	[명사]잔디밭
● じばん[地盤] 	[명사]지반
● しびれる[痺れる] 	[동사]저리다;마비되다, 황홀해지다;넋을 잃...
● しへい[紙幣] 	[명사]지폐
● しぼむ[凋む·萎む] 	[동사]시들다, 오므라지다
● しぼる[絞る] 	[동사]짜다, 물기를 빼다, 채액하다
● しほん[資本] 	[명사]자본
● しま[縞] 	[명사]줄무늬
● しまった 	[감동사]아차;아뿔싸, 모르는 사이에 저지른...
● じみ[地味] 	[명사]수수함;검소함
● しめきる[締(め)切る] 	[동사]전부 닫아 두다;완전히 닫다, 오랫동...
● しめた 	[감동사]됐다
● しめる[湿る] 	[동사]축축해지다;촉촉히 젖다, 물로 불이 ...
● しめる[占める] 	[동사]차지하다, 자리 잡다;영유하다, 얻다
● しも[下] 	[명사]아래, 허리 아래;아랫도리, 하류
● しも[霜] 	[명사]서리, 흰머리, 냉장고의 냉각기 등의...
● しゃ[社] 	[명사]사;신사·회사·신문사의 준말, 단체;...
● ジャーナリスト 	[명사]저널리스트;편집자·기자·기고자
● じゃくてん[弱点] 	[명사]약점
● しゃしょう[車掌] 	[명사]차장
● しゃせい[写生] 	[명사]사생
● しゃっきん[借金] 	[명사]차금;돈을 꿈;또, 꾼 돈
● しゃっくり[吃逆·噦り] 	[명사]딸꾹질
● シャッター 	[명사]셔터, 사진기의 셔터, 덧문
● しゃぶる 	[동사]입안에 넣고 핥다
● しゃべる[喋る] 	[동사]지껄이다;재잘거리다, 입 밖에 내다;...
● しゃれ[洒落] 	[명사]신소리;익살, 깔끔하고 재치가 있음,...
● じゃんけん[じゃん挙] 	[명사]가위바위보
● しゅう[州] 	[명사]주, 나라, 행정 구획의 하나
● しゅう[週] 	[명사]주;7일간
● しゅう[集] 	[명사]집;시가·문장 등을 모은 서책
● じゅう[重] 	[명사]중;중요한 것, 중…, …중
● じゅう[銃] 	[명사]총
● しゅうかい[集会] 	[명사]집회
● しゅうかく[収穫] 	[명사]수확, 농작물을 거두어들임, 얻음;또...
● しゅうきょう[宗教] 	[명사]종교
● しゅうきん[集金] 	[명사]집금;수금
● しゅうごう[集合] 	[명사]집합;한자리에 모음;또, 그 모임
● しゅうし[修士] 	[명사]석사, 가톨릭의 수사
● しゅうじ[習字] 	[명사]습자;→しょしゃ
● しゅうせい[修正] 	[명사]수정
● しゅうぜん[修繕] 	[명사]수선;수리
● じゅうたい[渋滞] 	[명사]삽체;정체;밀림
● じゅうたい[重体·重態] 	[명사]중태
● じゅうだい[重大] 	[형용동사]중대
● じゅうたく[住宅] 	[명사]주택
● しゅうだん[集団] 	[명사]집단;→だんたい
● じゅうたん[絨毯·絨緞] 	[명사]융단
● しゅうちゃく[執着] 	[명사]집착
● しゅうちゅう[集中] 	[명사]집중, 그 작품집 중
● じゅうてん[重点] 	[명사]중점, 사물의 중요한 점, 지렛대로 ...
● しゅうにん[就任] 	[명사]취임
● じゅうやく[重役] 	[명사]중역
● しゅうりょう[終了] 	[명사]종료
● じゅうりょう[重量] 	[명사]중량, 무게, 무게가 무거움
● じゅうりょく[重力] 	[명사]중력
● しゅぎ[主義] 	[명사]주의
● じゅくご[熟語] 	[명사]숙어, 둘 이상의 한자가 결합하여 된...
● しゅご[主語] 	[명사]주어, 주사
● しゅざい[取材] 	[명사]취재
● しゅしょう[首相] 	[명사]수상
● じゅつご[述語] 	[명사]술어, 문법상의 풀이말;→きゃくご, ...
● しゅっせ[出世] 	[명사]출세, 입신출세, 출가위승;속세를 떠...
● しゅっちょう[出張] 	[명사]출장
● しゅやく[主役] 	[명사]주역
● しゅよう[主要] 	[형용동사]주요
● じゅよう[需要] 	[명사]수요
● じゅん[順] 	[명사]순서·차례, 온순·순직함, …순;순서...
● しゅんかん[瞬間] 	[명사]순간
● じゅんさ[巡査] 	[명사]순경, 경찰관
● じゅんじゅん[順順] 	[명사]차례차례;차차 조금씩
● じゅんじょ[順序] 	[명사]순서
● じゅんじょう[純情] 	[형용동사]순정;티 없이 순진한 마음
● じゅんすい[純粋] 	[명사]순수
● じゅんちょう[順調] 	[명사]순조
● しょ[所] 	[명사]‘事務所·研究所’ 등의 준말, 그 일...
● じょ[女] 	[명사]여, 여…;여자의 뜻, …여
● しよう[使用] 	[명사]사용
● しょう[小] 	[명사]소, 작음;잚, 작음·적음의 뜻
● しょう[省] 	[명사]성, 정부의 내각을 조직하는 행정 관청
● しょう[商] 	[명사]장사;상업, 상인, …상;장사·장수의...
● しょう[章] 	[명사]문장을 크게 나눈 한 단락, 문장의 ...
● しょう[勝] 	[명사]승;승리, 지세·경치가 훌륭함;또, ...
● しょう[賞] 	[명사]상;상품
● じょう[上] 	[명사]상, 훌륭한;좋은, …에 관하여;…점...
● じょう[状] 	[명사]모양, 상신서, …상;…모양
● じょう[場] 	[명사]장소;곳, …장
● -じょう[畳] 	[접사]…장
● しょうがい[障害] 	[명사]장애;장해, 방해;방해물, ‘障害競走...
● しょうがない 	[명사]→しようがない→しよう
● しょうぎ[将棋] 	[명사]장기
● じょうき[蒸気] 	[명사]증기, ‘川蒸気船’의 준말
● じょうぎ[定規·定木] 	[명사]정규, 자, 모범;본보기
● しょうぎょう[商業] 	[명사]상업
● じょうきょう[上京] 	[명사]상경
● じょうきょう[状況·情況] 	[명사]상황;정황
● しょうきん[賞金] 	[명사]상금
● しょうじ[障子] 	[명사]‘明り障子’의 준말;장자, 옛날에 방...
● しょうしゃ[商社] 	[명사]상사;상사 회사
● じょうしょう[上昇] 	[명사]상승
● しょうじる[生じる] 	[동사]→しょうずる
● しょうすう[小数] 	[명사]소수
● しょうずる[生ずる] 	[동사]돋아 나오다;나다, 발생하다;생기다,...
● じょうせい[情勢·状勢] 	[명사]정세;형세
● じょうたい[状態] 	[명사]상태
● じょうたつ[上達] 	[명사]기능이 향상됨, 상달;상부에 전함
● しょうち[承知] 	[명사]알아들음, 들어줌;동의, 용서
● しょうちょう[象徴] 	[명사]상징;표상
● しょうてん[焦点] 	[명사]초점
● じょうとう[上等] 	[형용동사]상등;고급;훌륭함
● しょうどく[消毒] 	[명사]소독
● しょうとつ[衝突] 	[명사]충돌
● しょうにん[承認] 	[명사]승인
● しょうはい[勝敗] 	[명사]승패
● じょうはつ[蒸発] 	[명사]증발, 액체 표면의 기화 현상, 사람...
● しょうぶ[勝負] 	[명사]승부;이김과 짐, 승부를 겨룸;경기
● しょうべん[小便] 	[명사]소변;오줌, 매매 계약을 중도에서 깨...
● しょうみ[正味] 	[명사]정미, 겉 포장을 제외한 알맹이
● しょうもう[消耗] 	[명사]소모, 지침;피곤해서 맥이 풀림
● しょうりゃく[省略] 	[명사]생략
● じょおう[女王] 	[명사]여왕, 여자 임금;또, 왕후, 본디,...
● じょきょうじゅ[助教授] 	[명사]조교수
● しょく[職] 	[명사]직업;일자리, 직무;직책, 장색
● しょくえん[食塩] 	[명사]식염;소금
● しょくたく[食卓] 	[명사]식탁
● しょくにん[職人] 	[명사]직인;장색;공장
● しょくもつ[食物] 	[명사]식물;식품;음식물
● しょくりょう[食料] 	[명사]식료;음식물, 식대
● しょくりょう[食糧] 	[명사]식량
● しょさい[書斎] 	[명사]서재
● じょしゅ[助手] 	[명사]조수, 조교
● しょじゅん[初旬] 	[명사]초순;상순
● しょせき[書籍] 	[명사]서적;책
● しょどう[書道] 	[명사]서도;서예
● しょほ[初歩] 	[명사]초보;초학;첫걸음
● しょめい[署名] 	[명사]서명
● しょもつ[書物] 	[명사]서책;책;도서
● しょり[処理] 	[명사]처리;조처;처분
● しらが[白髪] 	[명사]백발, 머리카락처럼 잘게 찢은 삼이나...
● しり[尻·臀·後] 	[명사]궁둥이;엉덩이, 뒤;뒤쪽, 끝;끝 부...
● シリーズ 	[명사]시리즈, TV 프로·영화·소설 따위의...
● しる[汁] 	[명사]즙;물, 국, 최대의 몫을 차지하다
● しろ[白] 	[명사]백;흰색, 색이 흰 것, 백인종
● しろ[城] 	[명사]성, 남이 들어가는 것을 허용치 않는...
● しろうと[素人] 	[명사]훈련을 받지 않은 사람, 비전문가;생...
● しわ[皺·皴] 	[명사]주름;구김살, 잔물결;파문, 재정상의...
● しん[芯] 	[명사]→しん2, 가지 끝에 자라는 싹
● しんくう[真空] 	[명사]진공, 공기 따위의 물질이 전연 없는...
● しんけい[神経] 	[명사]신경
● しんけん[真剣] 	[명사]진검;진짜 칼, 진심;진지
● しんこう[信仰] 	[명사]신앙
● しんこう[進行] 	[명사]진행, 앞으로 나아감, 일이 진척됨;...
● じんこう[人工] 	[명사]인공
● しんこく[申告] 	[명사]신고;관청 따위에 알림
● しんこく[深刻] 	[형용동사]심각, 극히 잔인한 모양
